,term,Course_Name,enrolled,total_Seats
79,Spring 2006,CSC 210 [03 ],22,40
80,Spring 2006,CSC 211 [01 ],15,35
81,Spring 2006,CSC 212 [01 ],43,60
82,Spring 2006,CSC 213 [01 ],45,40
83,Spring 2006,CSC 305 [01 ],38,60
84,Spring 2006,CSC 310 [01 ],33,75
85,Spring 2006,CSC 313 [01 ],17,30
86,Spring 2006,CSC 313 [02 ],27,30
87,Spring 2006,CSC 413 [01 ],47,40
88,Spring 2006,CSC 415 [01 ],46,40
89,Spring 2006,CSC 510 [01 ],39,40
90,Spring 2006,CSC 520 [01 ],39,35
91,Spring 2006,CSC 600 [01 ],25,30
92,Spring 2006,CSC 600 [02 ],25,30
93,Spring 2006,CSC 630 [01 ],31,35
94,Spring 2006,CSC 639 [01 ],14,20
95,Spring 2006,CSC 645 [01 ],17,35
96,Spring 2006,CSC 650 [01 ],38,35
97,Spring 2006,CSC 656 [01 ],16,45
98,Spring 2006,CSC 667 [01 ],30,23
99,Spring 2006,CSC 668 [01 ],4,20
100,Spring 2006,CSC 693 [01 ],0,25
101,Spring 2006,CSC 693 [02 ],0,25
102,Spring 2006,CSC 694 [01 ],0,15
103,Spring 2006,CSC 694 [02 ],0,15
104,Spring 2006,CSC 694 [03 ],0,15
105,Spring 2006,CSC 695 [01 ],2,35
106,Spring 2006,CSC 697 [01 ],0,15
107,Spring 2006,CSC 699 [01 ],0,0
108,Spring 2006,CSC 699 [02 ],0,0
109,Spring 2006,CSC 699 [03 ],0,0
110,Spring 2006,CSC 720 [01 ],19,25
111,Spring 2006,CSC 745 [01 ],3,25
112,Spring 2006,CSC 810 [01 ],14,30
113,Spring 2006,CSC 830 [01 ],8,25
114,Spring 2006,CSC 840 [01 ],9,35
115,Spring 2006,CSC 842 [01 ],32,30
116,Spring 2006,CSC 845 [01 ],10,25
117,Spring 2006,CSC 846 [01 ],15,35
118,Spring 2006,CSC 857 [01 ],19,35
119,Spring 2006,CSC 867 [01 ],14,17
120,Spring 2006,CSC 868 [01 ],9,15
121,Spring 2006,CSC 875 [01 ],7,35
122,Spring 2006,CSC 893 [01 ],0,35
123,Spring 2006,CSC 895 [01 ],0,0
124,Spring 2006,CSC 897 [01 ],2,0
125,Spring 2006,CSC 897 [02 ],0,0
126,Spring 2006,CSC 897 [03 ],0,0
127,Spring 2006,CSC 897 [04 ],0,0
128,Spring 2006,CSC 898 [01 ],0,0
129,Spring 2006,CSC 899 [01 ],0,0
130,Spring 2006,CSC 899 [02 ],0,0
131,Spring 2006,CSC 899 [03 ],0,0
132,Spring 2006,CSC 897 [01 ],2,0
133,Spring 2006,CSC 897 [02 ],0,0
134,Spring 2006,CSC 897 [03 ],0,0
135,Spring 2006,CSC 897 [04 ],0,0
136,Spring 2006,CSC 898 [01 ],0,0
137,Spring 2006,CSC 899 [01 ],0,0
138,Spring 2006,CSC 899 [02 ],0,0
139,Spring 2006,CSC 899 [03 ],0,0
140,Spring 2006,CSC 897 [01 ],2,0
141,Spring 2006,CSC 897 [02 ],0,0
142,Spring 2006,CSC 897 [03 ],0,0
143,Spring 2006,CSC 897 [04 ],0,0
144,Spring 2006,CSC 898 [01 ],0,0
145,Spring 2006,CSC 899 [01 ],0,0
146,Spring 2006,CSC 899 [02 ],0,0
147,Spring 2006,CSC 899 [03 ],0,0
148,Spring 2006,CSC 897 [01 ],2,0
149,Spring 2006,CSC 897 [02 ],0,0
150,Spring 2006,CSC 897 [03 ],0,0
151,Spring 2006,CSC 897 [04 ],0,0
152,Spring 2006,CSC 898 [01 ],0,0
153,Spring 2006,CSC 899 [01 ],0,0
154,Spring 2006,CSC 899 [02 ],0,0
155,Spring 2006,CSC 899 [03 ],0,0
156,Fall 2006,CSC 101 [01 ],46,75
157,Fall 2006,CSC 203 [01 ],20,30
158,Fall 2006,CSC 209 [01 ],24,40
159,Fall 2006,CSC 210 [01 ],23,40
160,Fall 2006,CSC 210 [02 ],30,40
161,Fall 2006,CSC 210 [03 ],28,40
162,Fall 2006,CSC 211 [01 ],26,40
163,Fall 2006,CSC 212 [01 ],36,75
164,Fall 2006,CSC 213 [01 ],39,60
165,Fall 2006,CSC 217 [01 ],13,40
166,Fall 2006,CSC 305 [01 ],31,75
167,Fall 2006,CSC 310 [01 ],34,75
168,Fall 2006,CSC 313 [01 ],30,40
169,Fall 2006,CSC 313 [02 ],21,40
170,Fall 2006,CSC 338 [01 ],3,20
171,Fall 2006,CSC 413 [01 ],19,30
172,Fall 2006,CSC 413 [02 ],28,30
173,Fall 2006,CSC 415 [01 ],31,35
174,Fall 2006,CSC 510 [01 ],35,35
175,Fall 2006,CSC 520 [01 ],34,30
176,Fall 2006,CSC 600 [01 ],21,30
177,Fall 2006,CSC 600 [02 ],25,30
178,Fall 2006,CSC 615 [01 ],10,30
179,Fall 2006,CSC 631 [01 ],16,35
180,Fall 2006,CSC 637 [01 ],11,35
181,Fall 2006,CSC 639 [01 ],13,20
182,Fall 2006,CSC 640 [01 ],21,25
183,Fall 2006,CSC 641 [01 ],7,20
184,Fall 2006,CSC 650 [01 ],11,35
185,Fall 2006,CSC 664 [01 ],7,15
186,Fall 2006,CSC 667 [Q500 ],1,20
187,Fall 2006,CSC 668 [01 ],4,20
188,Fall 2006,CSC 675 [01 ],16,20
189,Fall 2006,CSC 693 [01 ],0,25
190,Fall 2006,CSC 693 [02 ],0,25
191,Fall 2006,CSC 694 [01 ],1,10
192,Fall 2006,CSC 694 [02 ],1,10
193,Fall 2006,CSC 694 [03 ],0,10
194,Fall 2006,CSC 697 [01 ],0,0
195,Fall 2006,CSC 699 [01 ],0,0
196,Fall 2006,CSC 699 [02 ],0,0
197,Fall 2006,CSC 699 [03 ],0,0
198,Fall 2006,CSC 730 [01 ],25,25
199,Fall 2006,CSC 775 [01 ],3,15
200,Fall 2006,CSC 810 [01 ],21,30
201,Fall 2006,CSC 835 [01 ],33,30
202,Fall 2006,CSC 841 [01 ],5,15
203,Fall 2006,CSC 848 [01 ],19,20
204,Fall 2006,CSC 858 [01 ],13,25
205,Fall 2006,CSC 864 [01 ],11,15
206,Fall 2006,CSC 868 [01 ],7,15
207,Fall 2006,CSC 893 [01 ],7,30
208,Fall 2006,CSC 895 [01 ],0,0
209,Fall 2006,CSC 897 [01 ],0,0
210,Fall 2006,CSC 897 [02 ],0,0
211,Fall 2006,CSC 897 [03 ],0,0
212,Fall 2006,CSC 897 [04 ],0,0
213,Fall 2006,CSC 898 [01 ],0,0
214,Fall 2006,CSC 899 [01 ],0,0
