num_people_enrolled,total_class_size,class_number,term,professor
38,25,Computer Systems Lab                                ,FALL 2011,"['Erlinger, Michael A. ']"
20,20,Software Development                                ,FALL 2011,"['Erlinger, Michael A. ', 'Sweedyk, Elizabeth Ann ']"
16,20,Software Development                                ,FALL 2011,"['Sweedyk, Elizabeth Ann ', 'Sweedyk, Elizabeth Ann ']"
34,40,Software Development Lab                                ,FALL 2011,"['Erlinger, Michael A. ']"
26,24,Programming Languages                                ,FALL 2011,"['Bruce, Kim Barry ']"
7,15,File Systems                                ,FALL 2011,"['Kuenning, Geoffrey H. ']"
29,24,Algorithms                                ,FALL 2011,"['Chen, Tzu-Yi ']"
8,20,Complexity Theory                                ,FALL 2011,"['Pippenger, Nicholas J. ']"
15,24,Computer Graphics                                ,FALL 2011,"['Sweedyk, Elizabeth Ann ']"
9,15,Seminar on Information Security                                ,FALL 2011,"['Coogan, Kevin P. ']"
19,20,Advanced Topics in Algorithms                                ,FALL 2011,"['Wiedermann, Benjamin ']"
32,66,Computer Science Clinic I                                ,FALL 2011,"['Kuenning, Geoffrey H. ', 'Keller, Robert M. ']"
0,5,Computer Science Research I                                ,FALL 2011,['Staff ']
0,10,Computer Science Research I                                ,FALL 2011,['Staff ']
1,10,Computer Science Research I                                ,FALL 2011,"['Libeskind-Hadas, Ran ']"
23,50,Programming Practicum                                ,FALL 2011,"['Dodds, Zachary B. ']"
6,10,Computer Science Senior Seminar                                ,FALL 2011,"['Bull, Everett L., Jr. ']"
1,99,Computer Science Project I                                ,FALL 2011,['Staff ']
0,99,Computer Science Project I                                ,FALL 2011,['Staff ']
0,99,Computer Science Project I                                ,FALL 2011,['Staff ']
8,10,Computer Science Project I                                ,FALL 2011,"['Dodds, Zachary B. ']"
1,10,Computer Science Project I                                ,FALL 2011,"['Kuenning, Geoffrey H. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2011,"['Bruce, Kim Barry ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2011,"['Bull, Everett L., Jr. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2011,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2011,"['Bruce, Kim Barry ']"
0,15,Senior Project                                ,FALL 2011,"['Bull, Everett L., Jr. ']"
0,15,Senior Project                                ,FALL 2011,"['Chen, Tzu-Yi ']"
83,99,Computer Science Colloquium                                ,FALL 2011,"[""O'Neill, Melissa E. ""]"
0,99,Adv Problems in Computer Science                                ,FALL 2011,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 2011,['Staff ']
1,99,Adv Problems in Computer Science - Communication Complexity        ,FALL 2011,"['Pippenger, Nicholas J. ']"
20,24,Programming for Science+Engineer                                ,FALL 2011,"['Higdon, James C. ']"
104,95,Introduction to Computer Science                                ,FALL 2012,"['Dodds, Zachary B. ', 'Lewis, Colleen ']"
71,95,Introduction to Computer Science                                ,FALL 2012,"['Dodds, Zachary B. ', 'Lewis, Colleen ']"
37,95,Introduction to Computer Science                                ,FALL 2012,"['Kuenning, Geoffrey H. ']"
34,60,Intro Biol and Computer Sci Lab                                ,FALL 2012,"['Bush, Eliot C. ', 'Libeskind-Hadas, Ran ']"
34,55,Intro Biology and Comp Science                                ,FALL 2012,"['Bush, Eliot C. ', 'Libeskind-Hadas, Ran ']"
52,60,Intro to Computer Science Lab                                ,FALL 2012,"['Kuenning, Geoffrey H. ']"
58,60,Intro to Computer Science Lab                                ,FALL 2012,"['Dodds, Zachary B. ']"
55,60,Intro to Computer Science Lab                                ,FALL 2012,"['Dodds, Zachary B. ']"
46,60,Intro to Computer Science Lab                                ,FALL 2012,"['Kuenning, Geoffrey H. ']"
41,40,Principles & Practice: Comp Sci                                ,FALL 2012,"['Keller, Robert M. ']"
26,40,Introduction to Computer Science                                ,FALL 2012,"['Navarro, Emily ', 'Lee, Arthur H. ']"
20,28,Intro to Computer Science w/Lab                                ,FALL 2012,"['Bruce, Kim Barry ', 'Coogan, Kevin P. ']"
25,28,Intro to Computer Science w/Lab                                ,FALL 2012,"['Bruce, Kim Barry ', 'Coogan, Kevin P. ']"
15,23,"Lab, Intro to Computer Science                                ",FALL 2012,"['Coogan, Kevin P. ']"
17,23,"Lab, Intro to Computer Science                                ",FALL 2012,"['Coogan, Kevin P. ']"
12,16,"Lab, Intro to Computer Science                                ",FALL 2012,"['Yu, Lei ']"
18,29,Fundamentals of Computer Science                                ,FALL 2012,"['Bull, Everett L., Jr. ']"
23,29,Fundamentals of Computer Science                                ,FALL 2012,"['Bull, Everett L., Jr. ']"
80,99,Principles of Computer Science                                ,FALL 2012,"['Dodds, Zachary B. ', 'Lewis, Colleen ']"
15,18,Data Structures &Adv Programming                                ,FALL 2012,"['Salloum, Mariam ', 'Lee, Arthur H. ']"
15,18,Data Structures &Adv Programming                                ,FALL 2012,"['Sun, John D. ', 'Lee, Arthur H. ']"
25,25,Data Structures/Prgm Development                                ,FALL 2012,"[""O'Neill, Melissa E. "", 'Wiedermann, Benjamin ']"
28,25,Data Structures/Prgm Development                                ,FALL 2012,"['Wiedermann, Benjamin ', ""O'Neill, Melissa E. ""]"
26,25,Data Structures/Prgm Development                                ,FALL 2012,"[""O'Neill, Melissa E. "", 'Wiedermann, Benjamin ']"
36,30,Computability and Logic                                ,FALL 2012,"['Stone, Christopher ']"
23,20,Computer Systems                                ,FALL 2012,"['Erlinger, Michael A. ']"
23,20,Computer Systems                                ,FALL 2012,"['Erlinger, Michael A. ']"
46,50,Computer Systems Lab                                ,FALL 2012,"['Erlinger, Michael A. ']"
18,18,Software Development                                ,FALL 2012,"['Sweedyk, Elizabeth Ann ', 'Sweedyk, Elizabeth Ann ']"
15,16,Software Development                                ,FALL 2012,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
26,20,Programming Languages                                ,FALL 2012,"['Bruce, Kim Barry ']"
18,25,Operating Systems                                ,FALL 2012,"['Kuenning, Geoffrey H. ']"
24,20,Algorithms                                ,FALL 2012,"['Yu, Lei ']"
25,20,Artificial Intelligence                                ,FALL 2012,"['Sood, Sara Owsley ']"
21,25,Neural Networks                                ,FALL 2012,"['Keller, Robert M. ']"
15,20,Domain-Specific Languages / Computer Science Seminar                                ,FALL 2012,"['Wiedermann, Benjamin ']"
12,24,Complexity Theory / CS Seminar                                ,FALL 2012,"['Libeskind-Hadas, Ran ']"
27,35,Fundamentals/ParallelProgramming / CS Seminar                                ,FALL 2012,"['Sarkar, Vivek ', 'Libeskind-Hadas, Ran ']"
14,24,Seminar on Big Software                                ,FALL 2012,"['Kampe, Mark A. ']"
36,66,Computer Science Clinic I                                ,FALL 2012,"['Kuenning, Geoffrey H. ']"
1,99,Computer Science Research I                                ,FALL 2012,"['Wiedermann, Benjamin ']"
0,99,Computer Science Research I                                ,FALL 2012,['Staff ']
2,5,Computer Science Research I                                ,FALL 2012,"['Sweedyk, Elizabeth Ann ']"
40,50,Programming Practicum                                ,FALL 2012,"['Dodds, Zachary B. ']"
8,9,Computer Science Senior Seminar                                ,FALL 2012,"['Coogan, Kevin P. ']"
9,9,Computer Science Senior Seminar                                ,FALL 2012,"['Sood, Sara Owsley ']"
0,99,Computer Science Project I                                ,FALL 2012,['Staff ']
0,99,Computer Science Project I                                ,FALL 2012,"['Stone, Christopher ']"
3,5,Computer Science Project I                                ,FALL 2012,"['Libeskind-Hadas, Ran ']"
4,5,Computer Science Project I                                ,FALL 2012,"['Erlinger, Michael A. ']"
0,1,Computer Science Project I                                ,FALL 2012,"['Stone, Christopher ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2012,"['Bruce, Kim Barry ']"
1,15,Sr Research/Thesis Computer Sci                                ,FALL 2012,"['Bull, Everett L., Jr. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2012,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2012,"['Bruce, Kim Barry ']"
0,15,Senior Project                                ,FALL 2012,"['Bull, Everett L., Jr. ']"
0,15,Senior Project                                ,FALL 2012,"['Chen, Tzu-Yi ']"
95,99,Computer Science Colloquium                                ,FALL 2012,"[""O'Neill, Melissa E. ""]"
0,99,Adv Problems in Computer Science                                ,FALL 2012,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 2012,['Staff ']
1,1,Adv Problems in Computer Science                                ,FALL 2012,"['Erlinger, Michael A. ']"
19,24,Programming for Science+Engineer                                ,FALL 2012,"['Higdon, James C. ']"
138,300,Introduction to Computer Science                                ,FALL 2013,"['Dodds, Zachary B. ']"
236,300,Introduction to Computer Science                                ,FALL 2013,"['Dodds, Zachary B. ', 'Dodds, Zachary B. ']"
38,75,Introduction to Computer Science                                ,FALL 2013,"['Kuenning, Geoffrey H. ', 'Dodds, Zachary B. ']"
91,125,Intro to Computer Science Lab                                ,FALL 2013,['Staff ']
117,125,Intro to Computer Science Lab                                ,FALL 2013,['Staff ']
101,125,Intro to Computer Science Lab                                ,FALL 2013,['Staff ']
100,125,Intro to Computer Science Lab                                ,FALL 2013,['Staff ']
39,40,Principles & Practice: Comp Sci                                ,FALL 2013,"['Wiedermann, Benjamin ']"
16,29,Introduction to Computer Science                                ,FALL 2013,"['Lee, Arthur H. ']"
14,19,Introduction to Computer Science                                ,FALL 2013,"['Lee, Arthur H. ']"
27,38,Intro to Computer Science w/Lab                                ,FALL 2013,"['Bruce, Kim Barry ']"
23,38,Intro to Computer Science w/Lab                                ,FALL 2013,"['Bruce, Kim Barry ']"
18,23,"Lab, Intro to Computer Science                                ",FALL 2013,"['Chambers, America L. ']"
15,23,"Lab, Intro to Computer Science                                ",FALL 2013,"['Chambers, America L. ']"
17,20,"Lab, Intro to Computer Science                                ",FALL 2013,"['McNally, Patrick Summerhays ']"
33,40,Fundamentals of Computer Science                                ,FALL 2013,"['Bull, Everett L., Jr. ']"
74,150,Principles of Computer Science                                ,FALL 2013,"['Lewis, Colleen ']"
27,30,Data Structures &Adv Programming                                ,FALL 2013,"['Sun, John D. ', 'Lee, Arthur H. ']"
24,28,Data Structures &Adv Programming                                ,FALL 2013,"['Sun, John D. ', 'Lee, Arthur H. ']"
28,25,Data Structures/Prgm Development                                ,FALL 2013,"[""O'Neill, Melissa E. "", 'Wiedermann, Benjamin ']"
26,25,Data Structures/Prgm Development                                ,FALL 2013,"[""O'Neill, Melissa E. "", 'Wiedermann, Benjamin ']"
28,25,Data Structures/Prgm Development                                ,FALL 2013,"[""O'Neill, Melissa E. "", 'Wiedermann, Benjamin ']"
27,30,Computability and Logic                                ,FALL 2013,"['Keller, Robert M. ']"
35,30,Computability and Logic                                ,FALL 2013,"['Keller, Robert M. ']"
68,40,Computer Systems                                ,FALL 2013,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
34,24,Software Development                                ,FALL 2013,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
30,16,Software Development                                ,FALL 2013,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
26,30,Programming Languages                                ,FALL 2013,"['Bruce, Kim Barry ']"
20,21,Algorithms                                ,FALL 2013,"['Boerkoel, James,, Jr. ']"
24,24,Algorithms                                ,FALL 2013,"['Chen, Tzu-Yi ']"
19,24,Artificial Intelligence                                ,FALL 2013,"['Boerkoel, James,, Jr. ']"
18,20,Artificial Intelligence                                ,FALL 2013,"['Chambers, America L. ', 'Bull, Everett L., Jr. ']"
31,24,Machine Learning                                ,FALL 2013,"['Rhodes, Neil ']"
18,24,Verification-Centric Softw Engrg / Computer Science Seminar                                ,FALL 2013,"['Zimmerman, Daniel M. ']"
17,24,Concurrency in Computation / Computer Science Seminar                                ,FALL 2013,"['Zimmerman, Daniel M. ']"
18,15,Mobile Software Development                                ,FALL 2013,"['McNally, Patrick Summerhays ', 'Bull, Everett L., Jr. ']"
0,66,Computer Science Clinic I                                ,FALL 2013,"['Kuenning, Geoffrey H. ']"
0,99,Computer Science Research I                                ,FALL 2013,['Staff ']
0,99,Computer Science Research I                                ,FALL 2013,['Staff ']
48,85,Programming Practicum                                ,FALL 2013,"['Dodds, Zachary B. ']"
14,10,Computer Science Senior Seminar                                ,FALL 2013,"['Bull, Everett L., Jr. ']"
11,10,Computer Science Senior Seminar                                ,FALL 2013,"['Bull, Everett L., Jr. ']"
0,99,Computer Science Project I                                ,FALL 2013,['Staff ']
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2013,"['Bruce, Kim Barry ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2013,"['Bull, Everett L., Jr. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2013,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2013,"['Bruce, Kim Barry ']"
1,15,Senior Project                                ,FALL 2013,"['Bull, Everett L., Jr. ']"
0,15,Senior Project                                ,FALL 2013,"['Chen, Tzu-Yi ']"
135,300,Computer Science Colloquium                                ,FALL 2013,"[""O'Neill, Melissa E. ""]"
0,99,Adv Problems in Computer Science                                ,FALL 2013,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 2013,['Staff ']
1,66,Computer Science & Math Clinic I                                ,FALL 2013,"['Kuenning, Geoffrey H. ', 'Martonosi, Susan E. ', 'Martonosi, Susan E. ', 'Kuenning, Geoffrey H. ']"
24,24,Programming for Science+Engineer                                ,FALL 2013,"['Higdon, James C. ']"
216,225,Introduction to Computer Science                                ,FALL 2015,"['Dodds, Zachary B. ']"
35,70,Introduction to Computer Science                                ,FALL 2015,"['Kuenning, Geoffrey H. ']"
119,132,Introduction to Computer Science                                ,FALL 2015,"['Dodds, Zachary B. ']"
49,65,Intro to Biology & Computer Sci                                ,FALL 2015,"['Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Libeskind-Hadas, Ran ', 'Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Bush, Eliot C. ']"
104,110,Intro to Computer Science Lab                                ,FALL 2015,"['Staff ', 'Staff ', 'Staff ', 'Staff ']"
102,110,Intro to Computer Science Lab                                ,FALL 2015,"['Staff ', 'Staff ', 'Staff ', 'Staff ']"
39,42,Intro to Computer Science Lab                                ,FALL 2015,"['Staff ', 'Staff ', 'Staff ']"
36,42,Intro to Computer Science Lab                                ,FALL 2015,"['Staff ', 'Staff ', 'Staff ']"
90,110,Intro to Computer Science Lab                                ,FALL 2015,"['Staff ', 'Staff ', 'Staff ', 'Staff ']"
33,30,Computing for the Web                                ,FALL 2015,"['Lee, Arthur H. ']"
45,50,Principles & Practice: Comp Sci                                ,FALL 2015,"['Wiedermann, Benjamin ']"
23,30,Introduction to Computer Science                                ,FALL 2015,"['Sun, John D. ']"
27,30,Introduction to Computer Science                                ,FALL 2015,"['Sun, John D. ']"
33,35,Intro to Computer Science w/Lab                                ,FALL 2015,"['Greenberg, Michael ', 'Chen, Tzu-Yi ']"
23,35,Intro to Computer Science w/Lab                                ,FALL 2015,"['Greenberg, Michael ', 'Chen, Tzu-Yi ']"
18,20,"Lab, Intro to Computer Science                                ",FALL 2015,"['Wu, Yuqing ']"
14,20,"Lab, Intro to Computer Science                                ",FALL 2015,"['Wu, Yuqing ']"
11,20,"Lab, Intro to Computer Science                                ",FALL 2015,"['Kampe, Mark A. ']"
14,20,"Lab, Intro to Computer Science                                ",FALL 2015,"['Kampe, Mark A. ']"
13,35,Introduction to CS in Grace                                ,FALL 2015,"['Bruce, Kim Barry ']"
6,20,"Lab, Intro to Comp Sci-Grace                                ",FALL 2015,"['Bruce, Kim Barry ']"
7,20,"Lab, Intro to Comp Sci-Grace                                ",FALL 2015,"['Bruce, Kim Barry ']"
44,32,Fundamentals of Computer Science                                ,FALL 2015,"['Kauchak, David R. ']"
23,18,Discrete Structures                                ,FALL 2015,"['Needell, Deanna ']"
98,150,Principles of Computer Science                                ,FALL 2015,"['Lewis, Colleen ', 'Trushkowsky, Beth ']"
24,18,Data Structures Adv Programming                                ,FALL 2015,"['Lee, Arthur H. ']"
42,40,Data Structures Adv Programming                                ,FALL 2015,"['Bruce, Kim Barry ', 'Bannister, Michael J. ']"
20,20,Data Structures/Adv Program Lab                                ,FALL 2015,"['Bruce, Kim Barry ', 'Bannister, Michael J. ']"
22,20,Data Structures/Adv Program Lab                                ,FALL 2015,"['Bruce, Kim Barry ', 'Bannister, Michael J. ']"
21,25,Data Structures/Prgm Development                                ,FALL 2015,"['Medero, Julie ', 'Amelang, Jeff ']"
16,25,Data Structures/Prgm Development                                ,FALL 2015,"['Medero, Julie ', 'Amelang, Jeff ']"
19,25,Data Structures/Prgm Development                                ,FALL 2015,"['Medero, Julie ', 'Amelang, Jeff ']"
23,35,Computability and Logic                                ,FALL 2015,"['Keller, Robert M. ']"
27,35,Computability and Logic                                ,FALL 2015,"['Keller, Robert M. ']"
15,36,Computer Systems                                ,FALL 2015,"['Sweedyk, Elizabeth Ann ', 'Sweedyk, Elizabeth Ann ']"
35,36,Computer Systems                                ,FALL 2015,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
11,12,Domain-Specific Languages                                ,FALL 2015,"['Wiedermann, Benjamin ']"
18,20,Software Development                                ,FALL 2015,"['Wu, Yi-Chieh ', 'Wu, Yi-Chieh ']"
40,40,Software Development                                ,FALL 2015,"['Lewis, Colleen ', 'Lewis, Colleen ']"
26,29,Programming Languages                                ,FALL 2015,"[""O'Neill, Melissa E. "", ""O'Neill, Melissa E. ""]"
26,29,Programming Languages                                ,FALL 2015,"[""O'Neill, Melissa E. "", ""O'Neill, Melissa E. ""]"
23,18,Programming Languages                                ,FALL 2015,"['Greenberg, Michael ']"
15,18,Databases                                ,FALL 2015,"['Trushkowsky, Beth ']"
17,20,Database Systems                                ,FALL 2015,"['Wu, Yuqing ']"
32,35,Algorithms                                ,FALL 2015,"['Stone, Christopher ']"
24,18,Algorithms                                ,FALL 2015,"['Chen, Tzu-Yi ']"
0,5,Complexity Theory                                ,FALL 2015,"['Pippenger, Nicholas J. ']"
27,32,Artificial Intelligence                                ,FALL 2015,"['Boerkoel, James,, Jr. ']"
31,32,Artificial Intelligence                                ,FALL 2015,"['Boerkoel, James,, Jr. ']"
16,17,Machine Learning                                ,FALL 2015,"['Wu, Yi-Chieh ']"
26,24,Advanced Topics in Algorithms / Computer Science Seminar                                ,FALL 2015,"['Libeskind-Hadas, Ran ']"
17,24,High Performance Computing / Computer Science Seminar                                ,FALL 2015,"['Amelang, Jeff ']"
16,15,Computational Photography                                ,FALL 2015,"['Bannister, Michael J. ']"
1,56,Computer Science Clinic I                                ,FALL 2015,"['Kuenning, Geoffrey H. ']"
12,50,Programming Practicum                                ,FALL 2015,"['Stone, Christopher ']"
14,10,Computer Science Senior Seminar                                ,FALL 2015,"['Wu, Yuqing ']"
14,10,Computer Science Senior Seminar                                ,FALL 2015,"['Kauchak, David R. ']"
13,10,Computer Science Senior Seminar                                ,FALL 2015,"['Kauchak, David R. ']"
1,15,Sr Research/Thesis Computer Sci                                ,FALL 2015,"['Bruce, Kim Barry ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2015,"['Bull, Everett L., Jr. ']"
1,15,Sr Research/Thesis Computer Sci                                ,FALL 2015,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2015,"['Bruce, Kim Barry ']"
0,15,Senior Project                                ,FALL 2015,"['Bull, Everett L., Jr. ']"
0,15,Senior Project                                ,FALL 2015,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2015,"['Kauchak, David R. ']"
119,300,Computer Science Colloquium                                ,FALL 2015,"['Libeskind-Hadas, Ran ']"
14,11,Computer Science Colloquium                                ,FALL 2015,"['Libeskind-Hadas, Ran ']"
0,66,Computer Science & Math Clinic I                                ,FALL 2015,"['Gu, Weiqing ', 'Kuenning, Geoffrey H. ']"
19,27,Programming for Science+Engineer                                ,FALL 2015,"['Higdon, James C. ']"
282,290,Introduction to Computer Science                                ,FALL 2016,"['Dodds, Zachary B. ']"
55,70,Introduction to Computer Science                                ,FALL 2016,"['Kuenning, Geoffrey H. ']"
30,50,Intro to Biology & Computer Sci                                ,FALL 2016,"['Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Libeskind-Hadas, Ran ', 'Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Bush, Eliot C. ']"
115,120,Intro to Computer Science Lab                                ,FALL 2016,"['Staff ', 'Staff ', 'Staff ', 'Staff ']"
95,110,Intro to Computer Science Lab                                ,FALL 2016,"['Staff ', 'Staff ', 'Staff ', 'Staff ']"
97,110,Intro to Computer Science Lab                                ,FALL 2016,"['Staff ', 'Staff ', 'Staff ', 'Staff ']"
39,50,Intro to Computer Science Lab                                ,FALL 2016,"['Staff ', 'Staff ', 'Staff ']"
39,35,Computing for the Web                                ,FALL 2016,"['Salloum, Mariam ']"
51,50,Principles & Practice: Comp Sci                                ,FALL 2016,"['Wiedermann, Benjamin ']"
32,38,Introduction to Computer Science                                ,FALL 2016,"['Dai, Ho_Kwok ']"
28,25,Intro to Computer Science w/Lab                                ,FALL 2016,"['Chen, Tzu-Yi ', 'Mkrtchyan, Katya ']"
22,25,Intro to Computer Science w/Lab                                ,FALL 2016,"['Chen, Tzu-Yi ', 'Mkrtchyan, Katya ']"
13,15,"Lab, Intro to Computer Science                                ",FALL 2016,"['Chen, Tzu-Yi ', 'Mkrtchyan, Katya ']"
7,15,"Lab, Intro to Computer Science                                ",FALL 2016,"['Chen, Tzu-Yi ', 'Mkrtchyan, Katya ']"
14,15,"Lab, Intro to Computer Science                                ",FALL 2016,"['Chen, Tzu-Yi ', 'Mkrtchyan, Katya ']"
17,15,"Lab, Intro to Computer Science                                ",FALL 2016,"['Chen, Tzu-Yi ', 'Mkrtchyan, Katya ']"
15,20,Introduction to CS in Grace                                ,FALL 2016,"['Bruce, Kim Barry ']"
16,20,"Lab, Intro to Comp Sci-Grace                                ",FALL 2016,"['Bruce, Kim Barry ']"
39,46,Fundamentals of Computer Science                                ,FALL 2016,"['Bull, Everett L., Jr. ']"
18,18,Discrete Structures                                ,FALL 2016,"['Needell, Deanna ']"
17,18,Discrete Structures                                ,FALL 2016,"['Needell, Deanna ']"
74,85,Principles of Computer Science                                ,FALL 2016,"['Lewis, Colleen ']"
23,30,Data Structures Adv Programming                                ,FALL 2016,"['Dai, Ho_Kwok ']"
38,42,Data Structures Adv Programming                                ,FALL 2016,"['Bruce, Kim Barry ', 'Mawhorter, Peter ']"
18,23,Data Structures/Adv Program Lab                                ,FALL 2016,"['Bruce, Kim Barry ', 'Mawhorter, Peter ']"
20,23,Data Structures/Adv Program Lab                                ,FALL 2016,"['Bruce, Kim Barry ', 'Mawhorter, Peter ']"
24,25,Data Structures/Prgm Development                                ,FALL 2016,"[""O'Neill, Melissa E. "", 'Medero, Julie ']"
25,25,Data Structures/Prgm Development                                ,FALL 2016,"['Medero, Julie ', ""O'Neill, Melissa E. ""]"
23,25,Data Structures/Prgm Development                                ,FALL 2016,"['Medero, Julie ', ""O'Neill, Melissa E. ""]"
24,25,Data Structures/Prgm Development                                ,FALL 2016,"['Medero, Julie ', ""O'Neill, Melissa E. ""]"
34,35,Computability and Logic                                ,FALL 2016,"['Keller, Robert M. ']"
32,35,Computability and Logic                                ,FALL 2016,"['Keller, Robert M. ']"
33,36,Computer Systems                                ,FALL 2016,"['Sweedyk, Elizabeth Ann ', 'Trushkowsky, Beth ', 'Sweedyk, Elizabeth Ann ', 'Sweedyk, Elizabeth Ann ', 'Trushkowsky, Beth ', 'Sweedyk, Elizabeth Ann ', 'Trushkowsky, Beth ']"
15,20,Computer Systems                                ,FALL 2016,"['Bull, Everett L., Jr. ']"
15,20,"Computer Systems, Lab                                ",FALL 2016,"['Bull, Everett L., Jr. ']"
19,20,Computer Science Education Rsrch                                ,FALL 2016,"['Lewis, Colleen ']"
17,20,Domain-Specific Languages                                ,FALL 2016,"['Wiedermann, Benjamin ']"
32,32,Software Development                                ,FALL 2016,"['Wu, Yi-Chieh ', 'Kharitonova, Yekaterina ', 'Wu, Yi-Chieh ', 'Kharitonova, Yekaterina ']"
19,30,Programming Languages                                ,FALL 2016,"['Stone, Christopher ', 'Stone, Christopher ']"
24,30,Programming Languages                                ,FALL 2016,"['Stone, Christopher ', 'Stone, Christopher ']"
27,24,Programming Languages                                ,FALL 2016,"['Greenberg, Michael ']"
13,20,Databases                                ,FALL 2016,"['Trushkowsky, Beth ']"
31,31,Algorithms                                ,FALL 2016,"['Libeskind-Hadas, Ran ']"
27,30,Algorithms                                ,FALL 2016,"['Libeskind-Hadas, Ran ']"
22,24,Algorithms                                ,FALL 2016,"['Chen, Tzu-Yi ']"
23,24,Artificial Intelligence                                ,FALL 2016,"['Mawhorter, Peter ']"
15,20,Computer Vision                                ,FALL 2016,"['Kharitonova, Yekaterina ']"
29,18,Machine Learning                                ,FALL 2016,"['Kauchak, David R. ']"
16,18,Special Topics in Computer Sci - Big Data: Platforms/Applications,FALL 2016,"['Salloum, Mariam ']"
34,20,Advanced Topics in Algorithms / Computer Science Seminar                                ,FALL 2016,"['Libeskind-Hadas, Ran ']"
7,20,Computer Security Seminar / Computer Science Seminar                                ,FALL 2016,"['Kuenning, Geoffrey H. ']"
19,20,Image Processing                                ,FALL 2016,"['Mkrtchyan, Katya ']"
0,56,Computer Science Clinic I                                ,FALL 2016,"['Kuenning, Geoffrey H. ']"
0,5,Comp Sci Research/Indep Study                                ,FALL 2016,['Staff ']
28,50,Programming Practicum                                ,FALL 2016,"['Lewis, Colleen ']"
12,20,Programming Practicum                                ,FALL 2016,"['Lewis, Colleen ']"
12,10,Computer Science Senior Seminar                                ,FALL 2016,"['Greenberg, Michael ']"
12,10,Computer Science Senior Seminar                                ,FALL 2016,"['Greenberg, Michael ']"
13,10,Computer Science Senior Seminar                                ,FALL 2016,"['Kauchak, David R. ']"
13,10,Computer Science Senior Seminar                                ,FALL 2016,"['Kauchak, David R. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2016,"['Bruce, Kim Barry ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2016,"['Bull, Everett L., Jr. ']"
0,15,Sr Research/Thesis Computer Sci                                ,FALL 2016,"['Chen, Tzu-Yi ']"
1,15,Sr Research/Thesis Computer Sci                                ,FALL 2016,"['Kauchak, David R. ']"
0,15,Senior Project                                ,FALL 2016,"['Bruce, Kim Barry ']"
0,15,Senior Project                                ,FALL 2016,"['Bull, Everett L., Jr. ']"
0,15,Senior Project                                ,FALL 2016,"['Chen, Tzu-Yi ']"
0,15,Senior Project                                ,FALL 2016,"['Greenberg, Michael ']"
0,15,Senior Project                                ,FALL 2016,"['Kauchak, David R. ']"
0,15,Senior Project                                ,FALL 2016,"['Wu, Yuqing ']"
111,297,Computer Science Colloquium                                ,FALL 2016,"['Keller, Robert M. ']"
13,11,Computer Science Colloquium                                ,FALL 2016,"['Keller, Robert M. ']"
0,66,Computer Science & Math Clinic I                                ,FALL 2016,"['Gu, Weiqing ', 'Kuenning, Geoffrey H. ']"
24,27,Programming for Science+Engineer                                ,FALL 2016,"['Higdon, James C. ']"
338,350,Introduction to Computer Science                                ,FALL 2017,"['Dodds, Zachary B. ']"
52,70,Introduction to Computer Science                                ,FALL 2017,"['Libeskind-Hadas, Ran ']"
28,50,Intro to Biology & Computer Sci                                ,FALL 2017,"['Bush, Eliot C. ', 'Wu, Yi-Chieh ', 'Bush, Eliot C. ', 'Wu, Yi-Chieh ', 'Wu, Yi-Chieh ', 'Bush, Eliot C. ', 'Wu, Yi-Chieh ', 'Bush, Eliot C. ']"
